2015 GEOID,"2010 Census Percent Rural",,,,,,,,,,,,,
13095,13.95971025,,,,,,,,,,,,,
13097,15.75719583,,,,,,,,,,,,,
13099,65.95203488,,,,,,,,,,,,,
13101,100,,,,,,,,,,,,,
13103,67.05263158,,,,,,,,,,,,,
13105,70.61886343,,,,,,,,,,,,,
13107,66.88202496,,,,,,,,,,,,,
13109,61.28181818,,,,,,,,,,,,,
13111,100,,,,,,,,,,,,,
13113,18.17823529,,,,,,,,,,,,,
13115,36.82216016,,,,,,,,,,,,,
13117,9.921885238,,,,,,,,,,,,,
13119,88.92863612,,,,,,,,,,,,,
13121,1.077693664,,,,,,,,,,,,,
13123,87.64315001,,,,,,,,,,,,,
13125,100,,,,,,,,,,,,,
13127,20.56614674,,,,,,,,,,,,,
13129,51.55836625,,,,,,,,,,,,,
13131,62.36056135,,,,,,,,,,,,,
13133,82.74978117,,,,,,,,,,,,,
13135,0.485520681,,,,,,,,,,,,,
13137,58.76257522,,,,,,,,,,,,,
13139,20.55664389,,,,,,,,,,,,,
13141,61.58659455,,,,,,,,,,,,,
13143,77.35927728,,,,,,,,,,,,,
13145,96.6837372,,,,,,,,,,,,,
13147,74.46555348,,,,,,,,,,,,,
13149,100,,,,,,,,,,,,,
13151,13.85333608,,,,,,,,,,,,,
13153,9.962115797,,,,,,,,,,,,,
13155,64.70958272,,,,,,,,,,,,,
13157,60.01487972,,,,,,,,,,,,,
13159,81.76258993,,,,,,,,,,,,,
13161,69.51154765,,,,,,,,,,,,,
13163,80.66745422,,,,,,,,,,,,,
13165,66.10311751,,,,,,,,,,,,,
13167,65.41082164,,,,,,,,,,,,,
13169,67.71425582,,,,,,,,,,,,,
13171,60.8724136,,,,,,,,,,,,,
13173,71.12522326,,,,,,,,,,,,,
13175,56.64409299,,,,,,,,,,,,,
13177,36.22870874,,,,,,,,,,,,,
13179,23.16044947,,,,,,,,,,,,,
13181,100,,,,,,,,,,,,,
13183,81.33987832,,,,,,,,,,,,,
13185,27.20423315,,,,,,,,,,,,,
13187,83.94180071,,,,,,,,,,,,,
13189,60.96,,,,,,,,,,,,,
13191,74.31103049,,,,,,,,,,,,,
13193,53.18860244,,,,,,,,,,,,,
13195,91.87766714,,,,,,,,,,,,,
13197,100,,,,,,,,,,,,,
13199,83.28483085,,,,,,,,,,,,,
13201,100,,,,,,,,,,,,,
13205,54.51102221,,,,,,,,,,,,,
13207,80.23009385,,,,,,,,,,,,,
13209,98.70656582,,,,,,,,,,,,,
13211,75.36937542,,,,,,,,,,,,,
13213,70.1271828,,,,,,,,,,,,,
13215,2.9775917,,,,,,,,,,,,,
13217,31.24412253,,,,,,,,,,,,,
13219,50.31699585,,,,,,,,,,,,,
13221,99.25498356,,,,,,,,,,,,,
13223,20.05283719,,,,,,,,,,,,,
13225,38.22350605,,,,,,,,,,,,,
13227,73.10319051,,,,,,,,,,,,,
13229,79.35280947,,,,,,,,,,,,,
13231,98.96468745,,,,,,,,,,,,,
13233,51.42133816,,,,,,,,,,,,,
